# time_values displacement[0,:] displacement[1,:]
0.0000,10.0000,-20.0000
0.1000,9.5568,-18.1641
0.2000,8.3567,-12.9739
0.3000,6.6696,-5.3252
0.4000,4.8385,3.4652
0.5000,3.2335,11.8879
0.6000,2.2011,18.5030
0.7000,2.0163,22.1888
0.8000,2.8445,22.3364
0.9000,4.7196,18.9556
1.0000,7.5419,12.6748
1.1000,11.0953,4.6343
1.2000,15.0808,-3.7086
1.3000,19.1610,-10.8296
1.4000,23.0081,-15.4003
1.5000,26.3476,-16.5180
1.6000,28.9904,-13.8644
1.7000,30.8490,-7.7654
1.8000,31.9353,0.8589
1.9000,32.3419,10.6446
2.0000,32.2095,20.0104
2.1000,31.6880,27.4219
2.2000,30.8981,31.6475
2.3000,29.9010,31.9651
2.4000,28.6806,28.2821
2.5000,27.1440,21.1498
2.6000,25.1380,11.6699
2.7000,22.4803,1.3081
2.8000,18.9999,-8.3522
2.9000,14.5789,-15.8758
3.0000,9.1889,-20.2145
3.1000,2.9326,-20.8794
3.2000,-3.8990,-18.0164
3.3000,-10.8962,-12.3706
3.4000,-17.5842,-5.1481
3.5000,-23.4720,2.1999
3.6000,-28.1073,8.2345
3.7000,-31.1290,11.7821
3.8000,-32.3093,12.1406
3.9000,-31.5803,9.2036
4.0000,-29.0393,3.4801
4.1000,-24.9332,-3.9921
4.2000,-19.6253,-11.8263
4.3000,-13.5480,-18.5275
4.4000,-7.1501,-22.7548
4.5000,-0.8469,-23.5579
4.6000,5.0210,-20.5494
4.7000,10.2129,-13.9819
4.8000,14.5950,-4.7166
4.9000,18.1303,5.9121
5.0000,20.8528,16.3127
5.1000,22.8338,24.8979
5.2000,24.1461,30.3466
5.3000,24.8327,31.8226
5.4000,24.8884,29.1129
5.5000,24.2553,22.6622
5.6000,22.8347,13.4977
5.7000,20.5134,3.0580
5.8000,17.1988,-7.0470
5.9000,12.8560,-15.3023
6.0000,7.5406,-20.5367
6.1000,1.4197,-22.1118
6.2000,-5.2238,-20.0193
6.3000,-12.0053,-14.8708
6.4000,-18.4714,-7.7826
6.5000,-24.1452,-0.1748
6.6000,-28.5802,6.4151
6.7000,-31.4149,10.4109
6.8000,-32.4227,10.6694
6.9000,-31.5473,6.7509
7.0000,-28.9138,-0.9986
7.1000,-24.8158,-11.5005
7.2000,-19.6782,-23.1243
7.3000,-14.0018,-33.9653
7.4000,-8.2995,-42.1707
7.5000,-3.0315,-46.2590
7.6000,1.4479,-45.3790
7.7000,4.9260,-39.4620
7.8000,7.3445,-29.2424
7.9000,8.7869,-16.1426
8.0000,9.4455,-2.0407
8.1000,9.5735,11.0383
8.2000,9.4308,21.2582
8.3000,9.2331,27.2739
8.4000,9.1133,28.4519
8.5000,9.1022,24.9705
8.6000,9.1303,17.7176
8.7000,9.0487,7.9434
8.8000,8.6630,-2.7597
8.9000,7.7754,-12.6601
9.0000,6.2304,-20.1776
9.1000,3.9546,-24.1476
9.2000,0.9845,-24.0145
9.3000,-2.5244,-19.9209
9.4000,-6.3084,-12.6776
9.5000,-10.0255,-3.6211
9.6000,-13.3003,5.6189
9.7000,-15.7764,13.4010
9.8000,-17.1684,18.3538
9.9000,-17.3039,19.6123
10.0000,-16.1503,16.9654
